SHEET,CHAIN,CO_OWNED,STATE,SOUTNJ,CENTRALJ,NORTHJ,PA1,PA2,SHORE,EMPFT,EMPPT,NMGRS,WAGE_ST,PSODA,PFRY,PENTREE,STATUS2,EMPFT2,EMPPT2,NMGRS2,WAGE_ST2,PSODA2,PFRY2,PENTREE2,Full_Time_Equivalent1,Full_Time_Equivalent2,FULLMEAL,FULLMEAL2,treat,store_id,dFTE,GAP,NJ,KFC,ROYS,WEND,NJ_x_CO,GAP_x_CO,large,NJ_x_large
46,1,0,0,0,0,0,1,0,0,30.0,15.0,3.0,,1.03,1.03,0.52,1,3.5,35.0,3.0,4.3,1.03,,0.94,40.5,24.0,2.58,,0,46,-16.5,0.0,0,0,0,0,0,0.0,1,0
49,2,0,0,0,0,0,1,0,0,6.5,6.5,4.0,,1.01,0.9,2.35,1,0.0,15.0,4.0,4.45,1.01,0.89,2.35,13.75,11.5,4.26,4.25,0,49,-2.25,0.0,0,1,0,0,0,0.0,0,0
506,2,1,0,0,0,0,1,0,0,3.0,7.0,2.0,,0.95,0.74,2.33,1,3.0,7.0,4.0,5.0,0.95,0.74,2.33,8.5,10.5,4.02,4.02,0,506,2.0,0.0,0,1,0,0,0,0.0,0,0
56,4,1,0,0,0,0,1,0,0,20.0,20.0,4.0,5.0,0.87,0.82,1.79,1,0.0,36.0,2.0,5.25,0.92,0.79,0.87,34.0,20.0,3.48,2.58,0,56,-14.0,0.0,0,0,0,1,0,0.0,1,0
61,4,1,0,0,0,0,1,0,0,6.0,26.0,5.0,5.5,0.87,0.77,1.65,1,28.0,3.0,6.0,4.75,1.01,0.84,0.95,24.0,35.5,3.29,2.8,0,61,11.5,0.0,0,0,0,1,0,0.0,1,0
62,4,1,0,0,0,0,1,0,0,0.0,31.0,5.0,5.0,0.87,0.77,0.95,1,,,,,,0.84,1.79,20.5,,2.59,,0,62,,0.0,0,0,0,1,0,0.0,1,0
445,1,0,0,0,0,0,0,1,0,50.0,35.0,3.0,5.0,1.04,0.88,0.94,1,15.0,18.0,5.0,4.75,1.04,0.86,0.94,70.5,29.0,2.86,2.84,0,445,-41.5,0.0,0,0,0,0,0,0.0,1,0
451,1,0,0,0,0,0,0,1,0,10.0,17.0,5.0,5.0,1.05,0.84,0.96,1,26.0,9.0,6.0,5.0,1.11,0.84,0.94,23.5,36.5,2.85,2.89,0,451,13.0,0.0,0,0,0,0,0,0.0,1,0
455,2,1,0,0,0,0,0,1,0,2.0,8.0,5.0,5.25,0.73,0.73,2.32,1,3.0,12.0,2.0,5.0,0.94,0.84,2.32,11.0,11.0,3.78,4.1,0,455,0.0,0.0,0,1,0,0,0,0.0,0,0
458,2,1,0,0,0,0,1,0,0,2.0,10.0,2.0,5.0,0.94,0.73,2.32,1,2.0,9.0,2.0,5.0,0.9,0.73,2.32,9.0,8.5,3.9899999999999998,3.9499999999999997,0,458,-0.5,0.0,0,1,0,0,0,0.0,0,0
462,3,1,0,0,0,0,0,1,0,2.5,20.0,3.0,5.0,1.05,1.01,1.11,1,1.0,25.0,4.0,4.75,1.01,1.01,0.89,15.5,17.5,3.17,2.91,0,462,2.0,0.0,0,0,1,0,0,0.0,0,0
468,1,0,0,0,0,0,0,1,0,40.0,30.0,3.0,5.0,0.95,0.94,0.95,1,9.0,32.0,4.0,5.0,0.97,0.84,0.86,58.0,29.0,2.84,2.67,0,468,-29.0,0.0,0,0,0,0,0,0.0,1,0
469,1,0,0,0,0,0,0,1,0,8.0,27.0,5.0,5.0,0.92,0.72,0.96,1,7.0,39.0,4.0,4.5,0.92,0.81,0.87,26.5,30.5,2.6,2.6,0,469,4.0,0.0,0,0,0,0,0,0.0,1,0
